title,description,lat,lng,created_at,updated_at
"Campo, Ca.",,32.6526051,-116.4716494,,
Boulder Oaks Campground,"04/07/26 (Mobber): Faucets on.
03/17/26 (SoloNotSolo): faucets on
03/13/26 (Duck): spigots flowing, clean pit toilets, power outlets, shade and the famous Cinderelli!
01/20/25 (CamperChris): Spigots flowing
09/19/24 (Monty T): Water flowing from faucets
03/11/24 (MMLM5714): spigots and pit toilets open
03/24/23 (ouch): faucet working, bathroom open
02/06/23 (Erin G): water is on but freezing at night. Only flow when temps rise enough to thaw pipe 
06/02/22 (Moritz): Spigots are on
05/08/22 (Postal): spigots still on
04/17/22 (patches2018): Group thru hiker spot currently open for hikers here. free. water on. camp host is very nice and helpful. bathrooms open. lots of freeway noise.",32.729221,-116.4834161,2022-04-17,2026-04-07
Cibbets Flat Campground,"03/18/26 (SoloNotSolo): faucets on
03/01/24 (coolwhip): campground now open
06/19/23 (Will): water is flowing clear and cool.",32.777462,-116.4466529,2023-06-19,2026-03-18
Long Canyon,"03/19/26 (SoloNotSolo): flowing
03/14/26 (Duck): Multi liters per minute 
04/19/25 (Camper Chris): Water flow sounds excellent.  Did not see it from trail
10/13/24 (Anita S): there is a good stream of fairly clear water running
09/17/24 (Kristen): Good flow still!
03/05/23 (jimmyjamhikes): there's water here if you don't mind postholing to get to it
04/14/22 (stellinastarlet): flowing well",34.298133,-119.177644,2022-04-14,2026-03-19
Lower Morris Mdw,06/01/24 (Warthog): piped spring a trickle and surrounded by stinging thistles.  Cistern/water trough has rotted out and no longer holds water. All the goldfish are dead.,32.8296673,-116.4203681,2024-06-01,2024-06-01
Burnt Rancheria Campground,"03/23/26 (Lana): Campground is closed, no water available, toilets are closed. Check Pine House place
03/14/26 (Duck): Campground closed, water off, restrooms locked.
04/19/25 (Camper Chris): Water at campsites was turned off
05/24/24 (kartoffelbrei): potable water
03/10/24 (toast): spigots off and bathrooms locked
03/26/23 (michele lamelin): burnt rancheria closed, camp host said we could camp nearby so long as she ""doesn't know""
11/14/22 (Bryan): Water off
06/03/22 (Moritz): Spigots are on
05/09/22 (Postal): spigots still on
04/11/22 (Geared Up): Faucets on, camping open, showers closed.",32.8588202,-116.4176863,2022-04-11,2026-03-23
Mount Laguna Visitor Center,"02/24/25 (Monty T): Faucet between Visitor Center and highway running very strong and clean. Great water! 
05/09/22 (Postal): The water spigot just in front of the visitor’s center is on. The water fountains at the restrooms are not.
03/27/22 (tjwoody): spigot to the right the welcome center tastes like pool water, bathrooms to the left",32.8423389,-116.427779,2022-03-27,2025-02-24
Desert View Picnic Area,"04/08/26 (Mobber): Faucet works great!
03/19/26 (SoloNotSolo): faucets on
02/24/25 (Monty T): Water Flowing. Look for multiple faucets. 
09/12/24 (Ghost): the faucet is on
07/26/24 (Monty T): Water running in 100 yards above restroom. Water in rest room for toilets only. Sink not flowing. 
05/09/22 (Semi): Spigot running.
04/15/22 (bhartman30): easy fresh water, restrooms still locked",32.869717,-116.4146452,2022-04-15,2026-04-08
Laguna Campground,"03/19/26 (SoloNotSolo): faucets on
06/03/22 (Moritz): Spigots are on
03/25/22 (emmor): campground is open, quarters needed for shower",32.8870052,-116.4483321,2022-03-25,2026-03-19
Oasis Spring,"03/24/26 (Lana): No visible water that trail crosses. Others said that for oasis spring you have to hike down and there is a lot of water there now.
07/30/22 (tx...2811): Flowing a heavy trickle. Water is cold. Source hidden in dense greens (did not see any oak) but is near trail and audible. Trail to spring is overgrown.",33.7649093,-116.2879537,2022-07-30,2026-03-24
Pioneer Mail Picnic Area,"04/08/26 (Mobber): Two big blue unopened jugs. Trough half full of discolored water.
03/24/26 (Lana): There is water in the cistern. Lots of bugs, but off the top it looks clean. Also occasional jug with fresh water is cached next to it.
03/20/26 (Duck): faucet flowing well
02/24/25 (Monty T): 5” of water in trough , but faucet broken, tank empty. Collection of EMPTY water cache bottles. 
12/22/24 (Gavin B): Faucets not functional and circular trough bone dry. Empty containers from spent catch for through hikers left in the trough.
09/28/24 (Rhea): No water from tap
07/26/24 (Monty T): No water. Tank Dry.
02/15/24 (snapper): spigot is on
04/13/23 (rscook87): spigot is running
03/25/23 (devilfish): trough full, (grosser than sunrise), lower faucet works
11/15/22 (Bryan): Trough full, water is green but filters clear
05/03/22 (Yellowbear): Spigot Working",32.9242017,-116.4814756,2022-05-03,2026-04-08
Sunrise Trailhead,"03/21/26 (Duck): Water is behind horse corral near solar tower.  3 valves are involved: one at large tank, and 2 at water trough some 20 feet away.
02/24/25 (Monty T): Water faucet flowing 
09/12/24 (Ghost): has water. Faucet is on side of large round water trough. If water is rusty let it run for a little bit.
07/26/24 (Monty T): Water flowing.
03/12/24 (360): no water flow at the moment
11/10/23 (Carmen R): Spigot next to trough had steady stream of water.
03/25/23 (devilfish): trough full, some floaters
11/15/22 (Bryan): Horse trough full of relatively clear water.
05/10/22 (Semi): Lots of water. Can hear the tank filling from the pump.
04/11/22 (Geared Up): Water is working from the tank.",37.8257315,-119.4699952,2022-04-11,2026-03-21
Scissors Crossing,"04/09/26 (Mobber): 20 gallons cached.
04/06/26 (Tex): has plenty of cached water bottles and trail angel brings water every morning according to them. Also hourly shuttles to Julian and StageCoach RV park from 7:30am into late afternoon.
03/22/26 (Duck): tons of water
09/12/24 (Ghost): Six gallons of water under the bridge. 
06/17/24 (willy.wonka): 10 gallons and two chairs
03/07/24 (2.2): 20 gallon jugs of water
04/11/23 (Mustard): Approx 30 gallons
03/22/23 (professor): 15 gallons and some gatorade
02/15/23 (St Alfonzo) 20 gals at this cache
11/16/22 (Bryan): Cache down to about 4 gallons 
09/23/22 (Larry S): cache is down to 6 gallons
06/08/22 (Professor): 16 gallons.
05/05/22 (Yellowbear): ~ 20 Gallons
04/28/22 (Monty Tam): cache looked restocked",33.0976685,-116.4730808,2022-04-28,2026-04-09
Barrel Spring,"04/11/26 (Mobber): Constant small flow.
04/09/26 (Tex):  water trickles from pipe, but a system to catch the flow in 1 gallon jugs is in place so don't have to wait as long as hikers rotate in empty jugs to fill
03/29/26 (Lana): Water flows very well
03/23/26 (Duck): flowing well
03/09/26 (Ghost): Flowing
02/15/26 (Rocket): Good flow 
10/04/25 (Camper Chris): Cool clear water.  Slow, steady flow.
03/02/25 (Jason H): Plenty of clear water in trough and good flow
09/12/24 (Ghost): Good flow of water.
06/08/24 (Pat): Water still flowing. Narrow flow (about the width of a drinking straw), but steady stream
03/08/24 (2.2): good water at pipe
04/15/23 (zgonsalves1): flowing good
03/13/23 (Rabbit): spring has nice clear water coming out of pipe.
11/16/22 (Bill&Jan): running with low flow (< 1 liter/min)
06/08/22 (Professor): Low flow 1 liter/minutes. Through is full of clearwater.
05/07/22 (Yellowbear): Flowing < 1 L/min",34.3352246,-118.3421631,2022-05-07,2026-04-11
Cattle Trough,"03/29/26 (Lana): Cistern is full of water and beyond. Flowing well
03/21/24 ($tache): Just a trickle from the pipe, but the tank is full of clear water.
06/08/22 (Professor): slow flow .5l/m into 6"" of mostly clear water.",38.2697967,-110.2960335,2022-06-08,2026-03-29
Eagle Rock Spring,"03/17/22 (woodglue): Vista Irrigation District confirms PCT hikers are not permitted to access the water source at mm106.2 any longer. They ask that in this area, hikers stay on the trail and not use the Ranch Roads.",41.4991335,-111.921822,2022-03-17,2022-03-17
Water Tank,,38.2720789,-120.3306774,,
Canada Verde,"04/09/26 (Tex):  good flow
03/30/26 (Lana): water flows very well. I confirm the water is great till Hwy 79.
04/16/25 (Jamie D): flowing strong but kinda murky
03/02/25 (Jason H): Good flow all the way to Warner Springs
02/20/24 (Shawnté S): Good flow
03/12/23 (Rabbit): flowing strong",35.1864047,-120.6106754,2023-03-12,2026-04-09
Warner Springs ;,"04/26/25 (Camper Chris): Open for business
03/02/25 (Jason H): Community Center is open and spigot is available for hikers
03/10/24 (superminiprincess): open and they have everything!
02/20/24 (Shawnté S): Good flow
02/19/23 (Erin G): Dry
05/13/22 (Aidan S): spigot still on
02/28/22 (Spencer): Spigot is on at the Community Center.",33.2822596,-116.6336303,2022-02-28,2025-04-26
Small Well,"11/07/21 (Mike Z): Six inches of water
05/17/21 (ancarter): about 12"" of water which is refilling. Sign on trail directs hikers to it. Just above trail.",34.6882266,-110.3966448,2021-05-17,2021-11-07
Guzzler,"04/13/26 (Mobber): Full of green water
04/11/26 (Tex): cistern has water but could not tell condition
04/01/26 (Lana): cistern is full of water. Be careful collecting as the top cover is in very bad condition
03/27/26 (Duck): Lots of cool, clear water with a slight yellow/green tinge. Smells fine, but did not taste.
02/16/25 (Andy T): Had water, but water looked very questionable (dark, turbid and lots of vegetation in there).
05/30/24 (jgthom): Completely dry 
02/20/24 (Shawnté S): almost full, no floaties or critters
11/08/23 (Bill M): hard to reach, had to use water bladder attached to paracord, questionable quality and color
04/12/23 (sarahandsol): tons of water
03/15/23 (Rabbit): cistern was full and just fine.",34.0159518,-115.9769506,2023-03-15,2026-04-13
Pines-to-Palms Hwy 74,"04/03/26 (Lana): Still reliable
03/27/26 (SoloNotSolo): faucets on
03/17/23 (Rabbit): Great water from trailhead at 74 until stream 4 miles in (155.6). Then dry 4 miles when a couple of seasonal melt waters appeared 
05/16/22 (Aidan S): spigot still on
04/26/22 (Leo O): PV Cafe Spigot On",33.6617152,-116.3991597,2022-04-26,2026-04-03
Live Oak Spring,"05/28/24 (bvr83): Flowing great! 
04/14/23 (oliviadawnshan): easy water source
05/10/22 (Yellowbear): Flowing < 1 L/min",32.674756,-116.3371617,2022-05-10,2024-05-28
Tunnel Spring,"04/15/26 (Yukon Gold): water fine but steepest 1/4 mile so far and regretted having gotten water here
06/18/24 (ThePinkLady): Slow, steady flow.
04/15/23 (dmwheeler): trough was full, spring was flowing at a trickle
03/20/23 (haz'n'mol): small trickle from the pipe, but there are several small streams within the next 4 miles to avoid the 30 minute detour
05/18/22 (Semi): Cool from pipe, flow apx 1L/min.",35.4812194,-118.2130843,2022-05-18,2026-04-15
Cedar Spring,"04/15/26 (Tex): water flow in stream easy to fill bladder
10/08/24 (Retrohiker): Water is flowing‘steadily’ from pipe
07/13/24 (psoma): Flowing well
11/03/23 (Lonewalker): The spring has lots of cold, clear flowing water running down the canyon.  Many 12"" deep pools, 36"" dia, as you head up canyon.  The Cattle Trough is full of clear water and overflowing.  Tap to trough is producing 1/2 gallon per minute.
04/08/23 (mikeb225): snow melt streams half way to water source
10/26/22 (Lonewalker): I rebuilt and replaced the missing galvanized tap to the cattle trough.  Water now flowing into the trough at 1/2 liter/min.  I added a leaf filter to keep the tap from clogging with leaves.
05/17/22 (Aidan S): water still trickling in second creek bed. Don’t be afraid to climb into what looks like a mud pit. Less than 1L/min.",38.0117296,-120.2282182,2022-05-17,2026-04-15
